street_edge_id,region_id
254605,29
254607,29
263308,29
346289,29
347254,29
375522,29
375529,29
375530,29
375537,29
375677,29
375691,29
375698,29
375703,29
375711,29
396809,29
396817,29
404924,29
404928,29
404931,29
404935,29
404939,29
417909,29
417915,29
417917,29
417923,29
420607,29
420613,29
423271,29
156096,30
157896,30
159250,30
160491,30
160492,30
160504,30
160505,30
160513,30
160968,30
161006,30
161033,30
161114,30
161120,30
161131,30
161144,30
161154,30
161155,30
161164,30
161170,30
161175,30
161192,30
161217,30
161227,30
161254,30
161285,30
161289,30
161291,30
161299,30
161313,30
161387,30
161388,30
161395,30
161405,30
161433,30
161442,30
161451,30
161464,30
161466,30
161477,30
161509,30
161515,30
161523,30
161526,30
161548,30
161549,30
161580,30
161584,30
161598,30
161608,30
161627,30
161628,30
161634,30
161643,30
161644,30
161651,30
161652,30
161659,30
161660,30
161663,30
161673,30
161676,30
161678,30
161683,30
161685,30
161686,30
185900,30
186041,30
186457,30
187776,30
191286,30
191291,30
191305,30
191308,30
191332,30
191342,30
191344,30
191345,30
191347,30
191356,30
191357,30
191358,30
212955,30
213368,30
230134,30
230138,30
230140,30
230141,30
230142,30
230145,30
230148,30
230153,30
233028,30
233643,30
233644,30
233645,30
252923,30
252935,30
252939,30
252972,30
252988,30
252996,30
253003,30
253006,30
253806,30
253808,30
253813,30
253817,30
253845,30
273631,30
290211,30
290220,30
311344,30
311347,30
347400,30
347401,30
348722,30
348727,30
348731,30
348734,30
348746,30
348748,30
348978,30
348984,30
348986,30
348987,30
348996,30
348998,30
349005,30
349009,30
349011,30
349018,30
349027,30
349038,30
349043,30
349048,30
349059,30
349066,30
349079,30
349084,30
349087,30
349102,30
349122,30
349137,30
349149,30
349152,30
349153,30
349165,30
349166,30
349175,30
349183,30
349192,30
349218,30
349221,30
349223,30
349224,30
349228,30
349242,30
349260,30
349268,30
349272,30
349273,30
349300,30
349302,30
349311,30
349324,30
349332,30
349337,30
349338,30
349352,30
349354,30
349363,30
349371,30
349376,30
349380,30
349398,30
349408,30
